Age,Gender,Country,City,Membership_Years,Login_Frequency,Session_Duration_Avg,Pages_Per_Session,Cart_Abandonment_Rate,Wishlist_Items,Total_Purchases,Average_Order_Value,Days_Since_Last_Purchase,Discount_Usage_Rate,Returns_Rate,Email_Open_Rate,Customer_Service_Calls,Product_Reviews_Written,Social_Media_Engagement_Score,Mobile_App_Usage,Payment_Method_Diversity,Lifetime_Value,Credit_Balance,Churned,Signup_Quarter
26,Male,USA,Phoenix,0.5,14,21,6.7,48.5,3,8,209.52,42,46.2,3.8,16.8,7,0,31.6,19.4,2,1408.78,1394,0,Q1
27,Male,USA,New York,2.3,8,27.7,10.2,49.4,3,11.7,126.48,22,35.88,15.1,16.1,9,1,26.6,5.9,3,1264.26,1060,0,Q4
,Female,USA,New York,8.4,12,13,7.3,79.2,5,11,137.03,2,3.5,9.7,31.8,3,2,0,9.1,3,1629.65,1209,0,Q3
21,Male,USA,Houston,0.4,8,,3.3,64,,11.7,50.04,43,72.36,1.9,,4,1,17.4,11,2,398.51,1453,0,Q4
44,Female,USA,Houston,1,18,37.4,14.6,53.9,7,16,175.48,47,,0.9,25.5,4,1,76.8,22.7,3,2448.87,2960,0,Q2
39,Male,USA,Chicago,1.7,8,24.3,11.9,46,3,10.4,84.15,49,12.84,2,,3,2,28.9,10.1,5,785.05,1533,0,Q4
30,Female,India,Hyderabad,2.5,4,,9.9,60.9,0,12,149.55,33,41.5,2.2,10.4,12,1,10.1,15.9,2,1509.94,489,0,Q1
27,Female,USA,Chicago,6.4,10,11.9,3.6,53.2,1,7,85.27,21,75.2,,0,5,1,17,,3,647.81,3564,0,Q2
18,Male,USA,Chicago,2.5,3,18.6,4.7,60.4,3,9,55.96,86,15.2,4.4,23.2,10,,21.8,10.7,3,475.81,1131,1,Q2
28,Female,USA,New York,6.7,7,20,,57.8,6,11,127.65,27,38.9,2.7,21.3,3,4,61.3,16.2,,1535.42,2005,0,Q3
31,Male,USA,Houston,0.5,7,23.9,4.1,44.8,4,10,79.68,7,33,,23.7,8,1,5.2,,3,859.82,1597,0,Q3
21,Female,USA,Houston,2.9,24,31.8,14.7,22.6,8,16.9,101.34,15,17.76,5,44,0,4,51.6,30,3,1315.57,1617,1,Q4
38,Male,India,Chennai,3.3,10,26.3,10.4,58.2,6,10.4,136.3,31,,9.8,11.9,7,3,16.4,12.4,1,957.87,2350,0,Q4
56,Male,USA,Phoenix,3.6,5,16.7,3.4,81.9,2,2,114.21,91,26.4,11.7,0,10,0,9.7,2.9,1,242.76,1264,1,Q1
43,Female,USA,Chicago,0.4,0,12.3,7,66.7,1,5,126.52,26,23.1,,4.2,9,0,0,5.5,,582.42,552,1,Q2
41,Male,USA,Phoenix,4.2,8,,6.9,68,0,7,254.55,5,80.5,8.4,23.1,5,0,9.3,11.8,2,1747.94,1221,1,Q2
,Female,USA,Houston,2.6,6,19.6,,59.6,3,14,112.43,7,28.3,,21.6,6,1,27.9,20.2,2,1389.84,1164,0,Q3
31,Male,India,Chennai,5.2,24,49.8,17.5,39,12,21,235.43,50,79.4,2.5,58.8,3,3,85,,2,4952.6,3636,0,Q2
50,Male,USA,New York,2.3,1,13.4,3.3,61.1,1,2,113.92,30,50.7,2,3.4,7,3,,12.4,2,255.06,815,0,Q3
39,Female,USA,Phoenix,8.1,22,36.6,12.5,33.8,9,15,88.75,21,16.7,9,24.4,3,7,29.7,24.6,2,1116.61,2601,0,Q2
,Male,USA,Houston,0.7,27,42.7,17.4,27.3,12,17,126.96,1,25.7,,22.6,1,7,52.4,,,1730.87,2694,0,Q2
36,Male,USA,Los Angeles,0.6,22,44.6,16.6,46,8,15,98.65,24,27.2,5,22.1,4,4,41.8,36.3,5,1497.13,3505,0,Q3
34,Male,USA,Phoenix,3.7,28,47.4,14,25.3,12,21,117.71,24,,4.7,55.7,0,3,54.3,42.2,1,2743.69,2413,0,Q1
54,Female,USA,New York,5.7,9,37.1,9.1,46.3,10,15,81.4,51,35.9,3,46.6,6,6,49.2,25.4,3,1370.4,3666,0,Q1
33,Other,USA,New York,2.6,22,32.5,13.1,48.7,,17,168.61,8,38.8,6.6,20.2,3,1,,18,,2965.65,1744,0,Q2
43,Male,USA,Phoenix,3.2,19,24,,65.4,10,16.9,133.7,3,43.56,6.1,13.7,9,2,45.1,17.8,2,1861.71,,0,Q4
35,Female,USA,Houston,1.5,4,37.8,7,57.1,5,11,115.65,35,65.7,1.5,9.6,2,2,,22.7,2,1303.33,2763,0,Q2
22,Other,USA,Houston,1.1,17,35.4,12.5,38.1,10,16,140.3,25,37.5,10.2,23.2,6,2,51.8,26,2,2110.08,2591,1,Q1
45,Female,USA,Houston,4.6,11,26.6,6.6,59.3,5,10.4,88.45,58,39.6,2.1,22.2,3,1,24.4,11.4,1,629.87,2431,0,Q4
53,Male,USA,Phoenix,6.2,11,23.9,11.7,53.3,3,16,209.26,1,42.7,9.2,14.8,7,5,39.6,20.4,3,3636.72,3200,1,Q2
23,Male,USA,Phoenix,2.2,16,28.4,11.7,65.2,1,9.1,63.03,18,52.8,2,3.9,8,0,42.5,15.7,2,387.03,2807,0,Q4
26,Male,USA,Houston,3.2,22,45.3,12.9,12,6,18,88.01,105,47.9,4.6,48.6,2,4,72.7,26.2,5,1846.28,1160,0,Q1
47,Male,India,Delhi,1.5,10,28.5,13.2,39.8,6,13,86.39,10,35.5,1.5,14.8,5,2,41.4,20.5,2,931.99,1829,0,Q3
32,Male,USA,Los Angeles,2.9,4,29.8,11.5,66.1,3,10,180.01,20,17,7.6,5.7,4,0,4.6,,2,1440.89,0,0,Q2
37,Female,India,Mumbai,3.7,15,34,10,53,4,15,117.48,37,26.6,4.6,34.5,2,1,28.9,,2,1894.34,3537,0,Q1
33,Female,USA,Phoenix,8.6,7,11.9,9.4,74.3,1,1,69.22,18,22.6,3,11.3,2,,0,6.3,1,69.94,1166,0,Q2
24,Female,USA,Los Angeles,1.9,3,26.3,6.6,48.8,,15.6,120.55,10,20.16,2.6,17.8,5,1,29,16.8,2,1521.09,350,1,Q4
52,Female,USA,Phoenix,4.3,26,34.1,6.8,48.5,7,11,111.44,18,30.6,6,22.7,4,3,33,20.7,4,1229.51,668,0,Q2
,Female,USA,New York,1,23,37.5,7.8,56.8,5,23.4,124.56,62,16.8,0.2,2,3,6,33.7,21.4,4,2012.43,1217,0,Q4
34,Female,India,Chennai,3,8,23.6,8.5,62.8,3,9,112.93,13,76.2,2.4,,5,2,27.8,22.8,2,1185.89,3224,0,Q3
43,Male,India,Chennai,2.7,14,16.2,7.4,50.8,1,13,77.56,43,,7,12.1,6,3,39.2,6.5,4,822.47,3934,0,Q4
28,Female,USA,Chicago,7.9,19,37.2,11,49.4,12,14,106.26,,,8.2,27.6,3,3,38.1,23.4,2,1452.74,3196,1,Q2
25,Male,USA,Chicago,1.9,24,40.4,11.1,52.1,8,24.7,102.12,31,11.04,4.7,38.5,5,4,53.9,28.6,4,1930.72,2506,0,Q4
50,Female,India,Hyderabad,4.6,0,13.7,4.4,72.7,0,7,113.82,1,5.5,7.7,0,10,2,0,5.3,1,928.16,,1,Q2
26,Male,USA,Los Angeles,1.7,20,16.4,5.3,71.3,4,10,131.6,8,63.9,5,21.1,7,4,16.3,1.6,3,1085.06,1190,0,Q3
30,Male,USA,Phoenix,7.9,8,22.6,3.5,76.3,,5,84.78,25,35.6,13.8,2.1,,2,9.5,9.9,1,457.67,,1,Q1
18,Male,USA,Houston,2.3,1,14.6,5,77.1,0,5,175.35,32,44.9,,0.9,6,0,0,7.9,2,746.66,550,1,Q1
58,Female,USA,Houston,4,7,29,10,64.5,6,12,132.26,8,61.2,5.6,13.4,4,6,0,13.1,2,1443.97,709,0,Q3
31,Female,USA,Los Angeles,1.6,18,,15.3,60.3,3,14,152.93,8,17.7,6.1,26.8,4,5,52.6,27,3,2373.95,1911,1,Q1
41,Male,USA,Los Angeles,2.8,2,19.1,6,77.5,4,10,104.36,8,25.2,,1.4,7,3,,14.3,2,990.22,885,0,Q1
45,Male,USA,Chicago,2.4,3,14.6,5,81,0,4,64.77,1,70.7,,,11,2,7.2,12.6,1,222.14,1137,1,Q1
61,Female,USA,Los Angeles,1.2,17,28.4,12.3,52.5,4,15,195.1,13,29.7,0.9,22.4,2,5,33.7,20.9,2,3450.41,,0,Q2
47,Female,USA,Chicago,7.2,14,22.2,6.8,51.1,4,13,69.86,8,71.7,4.4,10,2,2,19.6,16.3,1,1007.22,,0,Q2
36,Female,USA,Phoenix,6.3,6,5.6,2.2,70.6,1,6.5,102.04,37,107.88,5.8,4.6,10,,12.1,14.2,3,464.86,,1,Q4
47,Male,USA,Chicago,3.1,6,41.1,11.3,41.3,3,21,103.07,12,54.9,0.6,42.6,6,5,38.5,28,2,2564.9,,1,Q3
49,Male,USA,Houston,3.3,2,23.5,4.9,65.8,1,3,258.47,,24.3,13.3,0,8,,22.4,7.6,,922.11,2805,1,Q3
34,Male,USA,Los Angeles,1.8,7,30,6,96.1,2,6,106.66,11,,10.7,12.8,8,0,,6,2,747.25,2798,1,Q3
23,Female,USA,New York,1.7,0,30.6,5.5,70.2,4,10,88.94,104,20.7,6.2,16,5,,16.1,15.5,3,924.31,1106,1,Q1
32,Male,USA,Chicago,2.1,9,35.7,8.9,59.4,2,20,76.34,10,66.8,18.3,29.3,1,3,25.8,25.6,3,1420.77,1391,0,Q1
46,Male,USA,Los Angeles,4.6,25,39.5,11.2,16.2,5,21,70.51,0,33.5,5.6,35.2,5,6,55.8,30.7,4,1333.28,3925,0,Q3
38,Female,USA,Houston,7.1,8,,3.5,61.1,5,14,106.43,41,11.6,2.5,11.8,3,2,14,12.5,4,1720.67,2270,0,Q2
75,Male,India,Hyderabad,1.2,19,38.4,10.5,57.6,5,22.1,107.97,29,39.6,17.8,28.2,5,5,42.3,23.4,1,2103.33,,1,Q4
51,Female,USA,New York,1.7,19,41,12.7,28.6,4,14,175.8,34,8.2,4.6,30.1,7,5,49.2,28,1,2449.94,1541,1,Q1
59,Male,USA,New York,5.1,17,34,13.3,39.2,7,15,78.77,1,30.9,2.3,42,4,3,48.4,24.2,2,1024.49,3984,0,Q1
31,Female,India,Bangalore,0.6,11,21,9.9,51.3,5,19.5,45.81,31,28.44,2.8,20,6,6,14.2,19,1,562.68,3946,0,Q4
62,Female,USA,Houston,2.5,15,51.3,17.3,37.5,5,25,137.55,46,44.6,0.2,43.3,2,6,61.4,25.4,3,3281.08,1617,0,Q2
37,Male,USA,New York,5,4,23.7,10.2,62.3,2,10,157.78,1,26.6,18.3,9.8,1,2,17.7,14.3,1,1568.36,1349,0,Q1
61,Male,USA,Los Angeles,1.3,15,12.8,2.9,71.2,2,11.7,96.88,36,30,1.6,0,6,1,17.5,6.4,,829.52,2535,0,Q4
55,Male,USA,Houston,1.4,0,14,3.3,77.8,0,9.1,75.15,110,,14,10.5,6,1,10.5,16.2,2,520.03,649,1,Q4
30,Female,India,Chennai,4.1,8,31.1,12.7,51.2,4,14,50.83,29,72.9,2.1,26.5,5,5,,25.4,5,639.25,3231,0,Q1
39,Female,USA,New York,6.4,13,43.4,11.9,32.5,6,18,92.38,52,18,1.7,29,6,3,33.7,25.5,2,1948.66,2096,1,Q1
44,Female,USA,New York,1.4,11,21.3,7.9,61.5,4,13,121.26,5,29.4,,15.6,7,1,57.3,20.3,1,1141.25,1099,0,Q4
23,Male,USA,Houston,1.7,15,,3.2,66.3,1,10.4,89.72,55,48.96,4.4,5.9,2,3,36.5,10.2,5,586.05,1838,0,Q4
42,Female,India,Chennai,1.5,14,22.6,8.5,73.5,4,9,96.34,54,53,0.7,10,6,4,42.3,25.2,3,877.55,,1,Q3
49,Female,USA,Houston,3.5,20,22.6,8.3,44.7,11,13,97.32,15,22.1,5.5,26,7,6,61.6,11,2,1105.33,3191,0,Q2
23,Female,USA,Los Angeles,1.6,13,22.6,8,67.7,7,10,56.08,18,,0.7,11,6,0,25.8,20.3,2,563.41,1448,0,Q1
34,Male,USA,Houston,1.9,9,37.5,9.6,47.3,5,16.9,132.1,23,,10.1,21,5,,23.3,,2,1680.82,1345,0,Q4
36,Male,USA,New York,1.5,10,27.2,7.9,64,2,10,58.44,27,11.3,11.4,26.9,3,,12.1,,,556.7,3009,0,Q1
31,Male,USA,Los Angeles,3.6,0,,2.2,100,0,4,206.16,3,57.5,7,5.9,10,0,6.6,,5,900.03,299,1,Q2
31,Male,India,Mumbai,2.3,21,,14.6,65.4,,15,214.07,1,50.3,0.2,36.8,5,6,56.7,25.9,3,2891.72,1572,0,Q1
29,Male,USA,Phoenix,2,24,30.7,13.1,24.7,,26,107.71,14,23.76,4.6,40.5,0,3,55.5,,3,2446.13,1991,0,Q4
51,Male,USA,Chicago,1.4,14,26.2,,45.9,1,16,185.97,6,64.5,,11.5,4,5,15.4,24.1,,3212.98,2490,0,Q3
43,Male,USA,Phoenix,2.5,5,27.3,6,55.1,5,10,103.08,25,64.5,,11.5,5,2,43.7,14.5,3,926.77,2039,0,Q3
,Female,USA,Houston,3.7,20,35,7.9,32.7,3,17,100.85,27,,12.3,40.1,4,5,52.9,24.4,1,1767.28,4208,0,Q3
37,Female,USA,Phoenix,4.4,3,24.5,7.5,66.9,2,6,133.69,2,48.9,11.2,,5,3,,16.5,,774.54,594,0,Q2
22,Female,India,Bangalore,1.7,28,40.8,15.4,33.5,10,21,138.89,3,39.9,1.4,34.9,1,8,68.6,32.2,,2504.26,1942,0,Q3
28,Male,USA,Los Angeles,3.7,12,28.4,8.5,58.2,11,14,128.71,12,5.2,1,51.2,3,3,34.3,,2,1718.45,4109,0,Q2
30,Male,USA,New York,5,6,25.1,7.2,54.6,2,10.4,172.67,7,82.2,,,11,0,3.7,11.5,4,1443.34,0,0,Q4
28,Male,USA,Chicago,1.4,14,36.4,9.5,48.7,8,25,124.59,6,67.3,5.9,18.5,6,4,48.6,29.6,3,3564.4,1598,1,Q2
44,Female,India,Mumbai,3.7,21,18.9,9.7,48.3,4,12,124.71,9,22.3,8.6,16.8,6,2,42,26.7,2,1642.99,1231,0,Q3
51,Female,USA,New York,2.6,28,53.7,19.1,33.5,,23,89.66,14,43.2,14.2,61.3,1,7,,35.5,2,2398.74,,0,Q2
26,Male,USA,Chicago,2.2,21,38.5,17.2,22.3,14,29.9,52.94,12,29.4,5.2,51.6,5,6,32.8,33.5,2,1030.85,2761,0,Q4
31,Male,USA,Chicago,10,24,32.3,11.3,54,4,18.2,65.48,22,51.96,0.7,16.1,4,4,12.8,26.1,2,946.84,1628,0,Q4
39,Female,USA,New York,2.7,0,,,63,5,13,95.37,56,8.9,2.2,8.5,8,3,25.2,17.4,2,1273.74,2321,0,Q1
32,Female,USA,Los Angeles,3,21,32.7,9,48.3,0,15.6,120.55,3,32.04,,8.5,5,2,54.9,31.2,4,1246.06,2190,0,Q4
26,Male,USA,Phoenix,2.6,5,,3.9,70.8,1,6.5,95.13,20,76.92,3.4,4.2,4,1,1.2,0,1,485.74,1161,0,Q4
38,Female,USA,Houston,1.9,14,26.7,9.5,37.6,8,14,70.41,2,,8.9,31.9,10,4,33.9,22.8,4,978.69,3238,0,Q2
36,Male,India,Chennai,2.8,28,47.6,15.6,30.3,5,27.3,93.64,0,114,3.4,66.7,4,6,36.5,46.7,1,2095.67,2690,0,Q4
30,Male,USA,Los Angeles,2.8,0,26.9,7.5,77.6,1,5,122.94,38,57.4,2.1,16.8,2,1,,17.7,1,519.58,2286,0,Q3
37,Male,USA,Houston,0.5,21,40.6,12.1,32.6,,19,57.6,97,51.7,9.3,18.8,3,4,47.2,27.5,1,1023.94,2894,0,Q3
32,Male,India,Mumbai,3.6,13,30.1,,45.9,6,12,76.18,2,36,10.9,13.9,4,3,22.7,22.9,3,1085.47,1427,0,Q1
50,Female,USA,Phoenix,2.3,17,34.1,11.2,49.9,6,17,168.33,6,47.5,6.8,32.5,8,5,28.4,24.3,3,3330.85,950,1,Q3
44,Female,USA,Houston,3.1,0,,5.8,77.5,0,9.1,69.68,33,41.16,4.2,5.1,12,1,0,13.9,3,477.58,0,1,Q4
51,Female,USA,Phoenix,1.3,18,33.1,11.3,63.9,2,10,98.06,84,47,6.2,49,9,,55,28,1,1030.67,3626,0,Q1
52,Female,USA,Chicago,5.8,23,54.4,11.7,27,6,22,238.07,17,24.3,7.9,26.5,3,8,65.6,32.8,4,5805.16,3753,0,Q3
48,Female,USA,New York,3.8,10,39.5,10.4,46.3,7,16,122.63,5,25.6,2,30.1,3,9,58.9,33.9,2,1924.7,1128,0,Q1
48,Female,India,Mumbai,1.7,12,35.6,9.2,51.4,1,17,111.53,41,,6.2,35,4,3,45.5,34.7,3,1777,3287,0,Q3
29,Female,USA,New York,0.5,1,20.7,3,77.5,1,3,52.59,2,53.6,2,8.1,11,0,24.6,10.7,2,175.32,1307,1,Q1
20,Male,USA,Chicago,2.5,20,42.2,12.3,28.7,4,20,79.4,18,15.1,3.5,57.9,2,4,63.1,33.1,3,1479.58,999,1,Q3
32,Male,USA,New York,3.4,5,27.2,5.5,61.7,2,4,130.41,45,47.1,0.6,16.2,8,1,22.7,7.7,1,613.95,296,0,Q1
31,Male,India,Mumbai,0.6,7,25.6,4.9,79.5,2,7.8,77.2,1,32.4,8.1,,7,3,17.4,18.9,1,469.91,1265,0,Q4
62,Female,USA,New York,1.9,11,18.5,10.4,62.3,2,8,112.53,57,40.1,21.1,10.4,2,1,29.2,13.6,3,750.86,,0,Q1
41,Other,USA,Houston,3.4,19,30.9,6.1,49.2,3,16,95.72,,21.1,7.9,18.3,6,7,52.4,21,5,1309.18,3326,0,Q1
38,Female,USA,Houston,1.6,6,37.9,6.6,57.6,8,13,102.5,109,59.04,6,16.1,5,2,39.9,15.7,2,849.55,1904,0,Q4
52,Female,USA,Chicago,0.6,2,20.8,6.8,64.6,0,16,71.91,86,48.8,6.7,0,6,2,,,3,1281.99,633,1,Q3
,Male,USA,Chicago,4.4,16,26.6,10.8,58.6,,18.2,132.71,12,40.44,1.7,32.4,6,2,48.4,27.6,3,1576.15,1248,0,Q4
27,Male,USA,Phoenix,0.8,8,19.2,8.8,86.7,2,6,155.55,8,49.5,2.7,0,5,4,,31.6,2,837.34,2839,0,Q3
41,Male,USA,New York,6.6,20,47.5,11,27.6,4,24.7,97.95,43,71.16,,40.2,0,3,65.9,41.2,1,1586.25,5328,0,Q4
23,Female,USA,Los Angeles,2.3,7,19.1,7.9,67.7,6,8,117.93,41,66.3,5.3,,6,1,20,17,2,884.08,1359,0,Q3
34,Female,USA,New York,0.5,17,43.1,11.7,47.2,4,18.2,100.05,50,104.64,6.8,32.5,2,,,22.2,1,1653.83,3810,0,Q4
34,Male,USA,Phoenix,0.7,12,24.5,5,79.1,4,18,141.64,22,,0.4,11.5,9,3,,10.3,3,2536.77,,1,Q2
48,Male,India,Mumbai,9.6,13,17,7.4,82,2,9,139.05,42,62.1,3.1,6.4,5,3,1.3,20.2,1,1104.69,2061,0,Q1
27,Male,USA,Phoenix,3.3,8,,6.1,85.9,1,11.7,45.27,,6.84,9,4.3,8,3,25.1,19.6,5,420.95,2127,0,Q4
32,Male,USA,Phoenix,1.8,15,36.2,12.3,42.4,10,13,164.18,14,73.1,2.8,29.1,5,3,18.5,26.6,3,2454.86,2795,0,Q1
59,Female,India,Mumbai,0.9,7,29.9,10,68.9,2,18,69.49,,39.3,3.7,16.8,3,1,27.6,18.7,5,1330.77,,0,Q3
32,Female,USA,Phoenix,2.6,23,30.2,14.4,49.7,3,21,140.46,13,47.1,3,26.9,4,0,23.4,23.3,2,3278.66,2333,0,Q2
39,Male,USA,Chicago,5.1,18,42.7,10.2,42.1,9,20.8,89.85,38,108.12,15,34.7,6,4,20.1,19.9,3,1650.88,3061,0,Q4
56,Male,India,Delhi,4.3,17,47.4,16.3,18.5,5,20,90.85,25,65.5,3.9,63,6,,,29,2,1955.74,3787,1,Q1
23,Male,USA,New York,1.8,15,25.5,9.5,78.9,2,7,89.21,3,91.9,2.4,16.7,7,3,9.5,12.1,3,647.12,2544,0,Q1
53,Female,USA,Chicago,1.9,8,23.8,5.3,66.3,3,8,90.08,69,49.3,4.2,1.1,5,2,17.3,11.5,1,585.31,,0,Q3
24,Female,USA,New York,1,18,22,,72.6,5,16.9,125.39,5,53.4,3.8,15.6,7,,8.1,17.3,4,1330.86,2422,0,Q4
46,Female,USA,Houston,9.8,12,30.4,12.2,56.6,7,13,171.93,24,59.8,4.4,29.9,10,4,67.2,,2,1856.39,2872,0,Q2
35,Male,USA,Los Angeles,3.5,3,21.6,5,41.9,,11,92.27,27,39.5,10.2,13.1,8,4,32.6,12.6,2,1110.54,2391,0,Q3
26,Male,India,Mumbai,0.3,29,53.3,22.5,4,18,22,168.72,43,7.4,7.6,36.6,3,6,53.6,44.2,5,3878.23,5689,0,Q3
32,Female,India,Chennai,1.2,5,17,3.9,67.4,3,13,105.74,17,60.4,7.2,0,4,0,0,9.9,2,1498.95,,0,Q3
58,Male,USA,Chicago,0.392213634,25,48.9,17.1,30.5,10,63,108.94,14,18,95.91926261,49.7,3,3,51.1,34.7,2,2299.79,1892,0,Q3
55,Male,India,Chennai,1.5,0,22.7,5.6,61.3,5,9,73.3,38,35.2,4.6,14.6,5,,15.9,19.2,2,570.53,2408,0,Q1
45,Female,USA,Houston,0.4,4,16.7,3,61.9,,3.9,39.84,43,53.28,5.6,0,6,2,,5.1,4,139.93,0,1,Q4
23,Male,USA,Los Angeles,4.3,2,27,7.2,67.5,3,13,90.34,13,20.16,2.9,6.5,4,6,53.4,18.2,3,1026.79,779,1,Q4
31,Male,USA,New York,7,6,14,8.4,75.4,0,15,101.89,2,45.9,4.9,9.3,6,1,18.1,15.7,3,1479.63,775,0,Q1
51,Female,India,Bangalore,6.5,18,34.9,8.2,38,1,14,86.7,31,,6.9,37,6,2,40.4,29.1,3,1234.39,1552,0,Q1
43,Male,USA,Phoenix,3.6,20,13.5,2.3,64.8,1,5.2,126.57,49,55.2,8.5,5.6,7,0,24.9,2.6,2,492.53,,1,Q4
38,Female,USA,Chicago,2,18,32.3,9.4,47.8,7,11,129.68,25,21.6,18.6,18.3,4,3,32.5,21.8,3,1678.28,4046,0,Q3
50,Male,USA,Houston,10,0,,7.6,85.1,2,9,185.63,16,70.6,,7.4,8,1,23.1,12.8,1,1398.49,246,0,Q1
34,Female,USA,Chicago,7.8,8,27.3,7.6,54.2,2,9,84.91,15,88.3,5.7,18.3,3,3,16.4,8.8,2,915.22,,0,Q3
45,Male,USA,Los Angeles,0.6,0,1,6.5,68.7,1,3,121.83,2,,,,7,0,14.8,13.2,3,332.93,640,0,Q2
46,Female,USA,Los Angeles,3.9,12,18.5,6.6,61.9,4,19.5,65.7,48,63.96,5.5,25.2,8,3,0,26,4,847.08,,0,Q4
36,Male,USA,Phoenix,2.8,14,,6.1,66.2,4,8,146.22,14,,7.1,5.5,6,1,34.8,10.2,2,1101.02,2595,0,Q2
32,Female,USA,Houston,5,6,14.8,5.5,75.9,,13,122.24,11,73.7,1.7,12.4,7,2,36.6,3.2,1,1582.48,,0,Q1
46,Male,USA,Los Angeles,3.9,17,28.9,8.9,48.8,3,15,78.71,38,36.8,14.4,34.3,8,1,11.3,,1,1049.18,2142,0,Q3
35,Male,USA,Los Angeles,1.5,18,46.5,13.4,51.2,,19,139.54,14,54.2,5.6,30.6,4,6,48.8,33.4,1,2183.12,2742,0,Q3
54,Female,USA,New York,2.7,12,32.5,10.3,37.6,7,20.8,179.14,23,69.24,4.9,18.6,2,3,38.5,20.6,1,3034.17,3808,0,Q4
51,Male,USA,Houston,6,9,29.5,9.6,48.4,4,14,100.72,69,19.8,9.3,33.4,2,6,53.9,14.6,,1606.66,918,0,Q1
26,Female,USA,New York,1.9,5,34.6,8.1,56.4,6,10,139.14,83,40.5,6.9,26,3,5,12.2,22.9,2,1129.09,873,0,Q1
32,Male,USA,Houston,0.4,7,19.8,5.5,75,2,9,122.8,75,45.5,,0,3,0,0,13.7,1,1318.11,2009,1,Q2
,Female,India,Hyderabad,2.5,9,18.2,5.7,60.4,4,10,121.95,24,55.7,4.6,,11,2,22.9,13.6,4,1168.43,738,0,Q1
18,Male,USA,Houston,2.3,15,34.2,10.2,53.8,2,19.5,92.81,2,17.52,15.1,23.9,7,5,65.6,26,1,1522.66,1655,1,Q4
18,Female,USA,Chicago,9.8,19,41.2,13.5,33.4,7,18,174.15,2,33.4,12.2,26,5,6,69.2,37.7,3,2514.76,2411,0,Q1
39,Female,USA,Chicago,1.3,7,29.4,7.2,53.6,8,20.8,150.47,21,27,3.4,28.8,3,4,,23.1,3,2692.28,2659,0,Q4
46,Female,India,Delhi,3.4,20,43.8,11.6,37.1,11,19,88.53,23,28.5,7.1,46.9,5,4,85.5,,2,1701.11,4164,0,Q2
27,Male,India,Chennai,6.4,19,54.5,11.2,31.3,13,22,66.32,,60.3,,53,2,7,79.2,38.7,5,1232.27,3580,0,Q2
38,Male,USA,Houston,1.3,3,,4.2,64.1,2,5,120.68,39,24.4,4,0.4,4,0,0,19,3,525.28,1726,0,Q2
67,Female,USA,New York,1.2,8,27.8,10,74.2,,15,106.98,13,43.1,,4.8,9,2,0,,3,1792.6,1877,0,Q2
23,Female,USA,Chicago,2.8,1,30.5,7.5,42.3,5,10.4,59.83,17,9,4.1,9.1,10,5,32.2,11.7,3,557.76,1738,1,Q4
,Other,USA,New York,2.2,1,21.3,,75.1,7,11,85.7,39,43.6,5.7,8.9,4,3,30.4,16.9,2,911.02,1057,1,Q3
,Male,USA,Los Angeles,10,21,26,9.4,72.7,2,7,81.96,7,10.2,2,20.3,4,3,26.6,14.1,3,555,,0,Q3
51,Male,USA,Phoenix,0.5,13,19.6,5.8,60,3,12,112.48,16,15.7,7.4,7.1,6,5,,14.6,1,1428.2,441,0,Q2
64,Male,USA,New York,3.2,22,41.1,13.3,40.4,11,24,112.83,32,,1.8,31.1,3,6,52.2,34.4,1,2494.38,3339,1,Q1
38,Female,USA,New York,1.8,13,29.6,8.6,55.5,4,14,79.28,13,,5.3,3,5,5,32.2,20.4,3,1327.78,,0,Q1
30,Other,USA,Chicago,1.2,14,18.2,4.5,66.3,0,11,79.17,51,33.5,,17,7,1,19.7,,1,972.5,118,0,Q3
36,Male,USA,Phoenix,1.1,19,29.7,8.6,68.9,4,11,63.63,15,65,4.7,16.2,9,1,33.5,19.1,,620.43,2210,0,Q3
56,Male,India,Delhi,0.7,30,50.6,15.1,15.5,10,23,162.51,,15.3,7.4,60.4,3,15,63.7,39.7,1,3905.58,,0,Q3
56,Female,India,Chennai,4.7,16,22,4,64,4,24,102.86,7,31.7,23.9,17.8,8,1,,17.5,1,2093.41,114,1,Q2
48,Female,USA,Los Angeles,4.8,2,23.7,5.2,56.9,2,6.5,118.34,81,,,18.5,6,0,27.7,15,2,641.85,1189,1,Q4
31,Female,USA,Los Angeles,1.6,5,13.6,7.5,76.7,0,6,87.5,18,8.7,10.3,3.2,6,1,0,,2,424.26,2099,1,Q2
30,Female,USA,Los Angeles,2,14,32.8,12.1,51.5,6,23.4,73.8,58,41.52,11.1,48.2,5,4,64.3,26.2,3,1327.07,2364,0,Q4
46,Female,USA,New York,0.8,13,14.1,7.5,62.5,3,12,105.45,11,63.4,7.3,17.7,6,4,42.9,12.2,2,1385.92,448,0,Q2
47,Female,USA,New York,2.7,13,27.7,12,66.3,4,10.4,203.55,2,18.12,14.8,24.5,9,4,13.2,19.7,2,1675.44,2203,0,Q4
38,Male,USA,New York,7,24,36.3,12.1,55.3,8,15,181.23,17,58.1,2.9,42.1,3,5,44.6,38.4,3,2592.78,3067,0,Q2
55,Male,India,Chennai,2.6,0,16.6,1.9,74.7,0,4,102.65,173,12,4.3,4.1,8,,6.5,6.7,3,451.6,470,1,Q3
